ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	12	4	"protein 45"	"237"	5750	2620	100	646	657	163	1329	1325	1329	91	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-683	-672	Error	-683	-672	52594	-7.341	24	6	48
1	1	5	"protein 111"	"209"	3060	2860	100	371	480	351	1442	1386	1442	2665	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-1071	-962	Error	-1071	-962	38376	-0.340	73	192	49
1	2	5	"protein 111"	"209"	3300	2860	100	470	613	379	1435	1450	1435	127	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-965	-822	Error	-965	-822	49072	-6.591	61	8	50
1	3	5	"protein 111"	"209"	3550	2860	100	397	551	329	1300	1293	1300	106	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-903	-749	Error	-903	-749	44079	-7.000	59	8	51
1	4	5	"protein 3"	"213"	3790	2860	100	1352	1459	537	1255	1255	1255	84	53	34	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	97	204	Error	97	204	116741	2.429	36	6	52
1	5	5	"protein 3"	"213"	4040	2860	100	1365	1506	520	1364	1369	1364	96	36	29	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	1	142	Error	1	142	120458	1.427	34	7	53
1	6	5	"protein 3"	"213"	4280	2860	100	1488	1684	678	1449	1450	1449	73	43	36	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	39	235	Error	39	235	134727	3.205	40	5	54
1	7	5	"protein 107"	"217"	4530	2860	100	721	883	320	1455	1458	1455	79	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-734	-572	Error	-734	-572	70666	-7.278	36	5	55
1	8	5	"protein 107"	"217"	4770	2860	100	794	928	343	1497	1500	1497	87	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-703	-569	Error	-703	-569	74251	-6.575	36	5	56
1	9	5	"protein 107"	"217"	5020	2860	100	909	970	330	1510	1514	1510	86	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-601	-540	Error	-601	-540	77603	-6.326	34	5	57
